"Attrition","Age","Gender","MaritalStatus","BusinessTravel","Department","DistanceFromHome","EducationField","JobRole","MonthlyIncome","JobSatisfaction","OverTime","PerformanceRating","YearsAtCompany"
"Yes",20,"Female","Single","Travel_Frequently","Research & Development",6,"Life Sciences","Laboratory Technician",2926,4,"Yes",3,1
"No",34,"Female","Single","Travel_Rarely","Research & Development",6,"Other","Research Scientist",4809,3,"No",3,16
"No",37,"Male","Divorced","Non-Travel","Research & Development",2,"Life Sciences","Healthcare Representative",5163,4,"No",3,1
"No",59,"Female","Married","Non-Travel","Human Resources",2,"Human Resources","Manager",18844,4,"No",4,3
"No",50,"Female","Married","Travel_Frequently","Research & Development",1,"Life Sciences","Research Director",18172,2,"Yes",3,8
"Yes",25,"Male","Single","Travel_Rarely","Sales",5,"Marketing","Sales Executive",5744,3,"Yes",3,6
"No",25,"Male","Married","Travel_Rarely","Research & Development",7,"Medical","Research Scientist",2889,4,"No",3,2
"No",22,"Female","Single","Travel_Rarely","Research & Development",15,"Medical","Laboratory Technician",2871,4,"No",3,0
"No",51,"Female","Single","Travel_Frequently","Research & Development",1,"Medical","Healthcare Representative",7484,1,"No",4,13
"Yes",34,"Male","Single","Travel_Frequently","Research & Development",7,"Life Sciences","Laboratory Technician",6074,3,"Yes",4,9
"No",54,"Female","Single","Non-Travel","Human Resources",26,"Human Resources","Manager",17328,4,"Yes",3,5
"No",24,"Male","Married","Travel_Rarely","Research & Development",18,"Life Sciences","Laboratory Technician",2774,3,"No",3,5
"No",34,"Female","Divorced","Travel_Rarely","Research & Development",6,"Life Sciences","Research Scientist",4505,2,"No",3,1
"No",37,"Male","Single","Travel_Rarely","Sales",3,"Life Sciences","Sales Executive",7428,4,"No",3,5
"No",34,"Female","Single","Travel_Rarely","Research & Development",5,"Medical","Manager",11631,1,"No",3,11
"No",36,"Female","Married","Travel_Frequently","Sales",11,"Technical Degree","Sales Executive",9738,4,"No",3,9
"No",36,"Female","Divorced","Travel_Rarely","Research & Development",3,"Life Sciences","Laboratory Technician",2835,4,"No",4,1
"No",43,"Male","Married","Travel_Frequently","Sales",26,"Life Sciences","Manager",16959,4,"Yes",3,25
"No",30,"Male","Divorced","Travel_Frequently","Research & Development",23,"Life Sciences","Research Scientist",2613,3,"No",4,10
"No",33,"Male","Married","Non-Travel","Sales",22,"Marketing","Sales Executive",6146,2,"No",3,7
"Yes",56,"Female","Married","Travel_Rarely","Research & Development",14,"Life Sciences","Research Scientist",4963,2,"Yes",3,5
"No",51,"Male","Single","Travel_Rarely","Research & Development",6,"Life Sciences","Research Director",19537,3,"No",3,20
"Yes",31,"Male","Married","Travel_Rarely","Sales",6,"Life Sciences","Sales Executive",6172,3,"Yes",3,7
"No",26,"Female","Married","Travel_Rarely","Research & Development",6,"Other","Research Scientist",2368,2,"No",3,5
"Yes",58,"Female","Married","Travel_Rarely","Research & Development",23,"Medical","Healthcare Representative",10312,4,"No",3,40
"Yes",19,"Male","Single","Travel_Rarely","Sales",22,"Marketing","Sales Representative",1675,3,"Yes",3,0
"No",22,"Male","Married","Travel_Rarely","Research & Development",2,"Technical Degree","Laboratory Technician",2523,4,"No",3,2
"No",49,"Female","Married","Travel_Rarely","Research & Development",20,"Medical","Manufacturing Director",6567,1,"No",3,15
"No",43,"Female","Single","Travel_Frequently","Research & Development",28,"Medical","Research Scientist",4739,3,"No",3,3
"No",50,"Female","Single","Travel_Frequently","Sales",12,"Marketing","Sales Executive",9208,4,"No",3,2
"Yes",31,"Female","Married","Travel_Rarely","Sales",20,"Life Sciences","Sales Executive",4559,3,"Yes",3,2
"No",41,"Male","Divorced","Travel_Rarely","Sales",9,"Life Sciences","Sales Executive",8189,3,"Yes",3,9
"No",26,"Female","Married","Travel_Rarely","Human Resources",25,"Life Sciences","Human Resources",2942,3,"No",4,8
"No",36,"Male","Divorced","Travel_Rarely","Research & Development",6,"Medical","Manufacturing Director",4941,2,"No",4,3
"Yes",51,"Male","Single","Travel_Frequently","Research & Development",8,"Life Sciences","Manufacturing Director",10650,4,"No",3,4
"No",39,"Female","Married","Travel_Rarely","Sales",4,"Life Sciences","Sales Executive",5902,3,"No",3,15
"No",25,"Male","Married","Travel_Rarely","Sales",28,"Life Sciences","Sales Executive",8639,3,"No",3,2
"No",30,"Male","Married","Travel_Rarely","Human Resources",9,"Human Resources","Human Resources",6347,4,"Yes",3,11
"Yes",32,"Female","Single","Travel_Rarely","Research & Development",9,"Medical","Laboratory Technician",4200,1,"No",4,5
"No",45,"Male","Single","Travel_Rarely","Research & Development",29,"Medical","Research Scientist",3452,4,"No",3,6
"No",38,"Female","Single","Travel_Rarely","Research & Development",3,"Technical Degree","Research Scientist",4317,3,"Yes",4,3
"No",30,"Female","Single","Travel_Rarely","Research & Development",18,"Life Sciences","Research Scientist",2632,3,"No",3,5
"No",32,"Male","Divorced","Travel_Frequently","Sales",9,"Medical","Sales Executive",4668,4,"No",3,8
"No",30,"Female","Divorced","Travel_Rarely","Research & Development",5,"Technical Degree","Research Scientist",3204,1,"No",3,3
"No",30,"Male","Single","Travel_Rarely","Research & Development",2,"Medical","Laboratory Technician",2720,4,"No",3,5
"No",41,"Male","Divorced","Travel_Frequently","Research & Development",10,"Life Sciences","Manager",17181,1,"No",3,7
"No",41,"Male","Married","Travel_Rarely","Research & Development",9,"Life Sciences","Laboratory Technician",2238,1,"No",4,5
"No",19,"Female","Single","Travel_Rarely","Research & Development",3,"Medical","Laboratory Technician",1483,2,"No",3,1
"No",40,"Female","Divorced","Travel_Frequently","Research & Development",26,"Medical","Research Scientist",5605,2,"No",3,20
"No",35,"Male","Married","Travel_Rarely","Sales",1,"Marketing","Sales Executive",7295,2,"No",3,10
"No",53,"Male","Married","Travel_Rarely","Sales",6,"Marketing","Sales Representative",2306,3,"Yes",4,7
"No",45,"Male","Divorced","Travel_Rarely","Research & Development",9,"Life Sciences","Laboratory Technician",2348,2,"No",3,17
"No",32,"Female","Single","Travel_Frequently","Sales",8,"Marketing","Sales Executive",8998,4,"No",3,9
"No",29,"Male","Married","Non-Travel","Research & Development",1,"Technical Degree","Manufacturing Director",4319,3,"No",3,10
"No",51,"Male","Married","Travel_Rarely","Research & Development",7,"Medical","Manufacturing Director",6132,3,"No",3,1
"No",58,"Female","Married","Travel_Rarely","Research & Development",9,"Medical","Research Scientist",3346,2,"Yes",4,1
"No",40,"Male","Married","Travel_Rarely","Sales",4,"Marketing","Sales Executive",10855,4,"No",3,12
"No",34,"Female","Married","Travel_Frequently","Sales",2,"Marketing","Sales Representative",2231,3,"No",3,4
"No",22,"Male","Married","Travel_Rarely","Research & Development",19,"Medical","Research Scientist",2323,4,"No",4,2
"No",27,"Male","Divorced","Non-Travel","Research & Development",9,"Medical","Research Scientist",2024,2,"No",3,2
"No",28,"Male","Married","Travel_Rarely","Research & Development",21,"Medical","Research Scientist",2713,4,"No",3,5
"No",57,"Male","Divorced","Travel_Rarely","Research & Development",24,"Life Sciences","Healthcare Representative",9439,4,"Yes",3,5
"No",27,"Male","Divorced","Non-Travel","Research & Development",3,"Medical","Research Scientist",2566,3,"Yes",3,1
"No",50,"Female","Single","Travel_Rarely","Research & Development",11,"Life Sciences","Manager",19926,2,"No",3,5
"No",41,"Male","Divorced","Travel_Rarely","Research & Development",14,"Life Sciences","Research Scientist",2451,3,"No",3,9
"No",30,"Female","Married","Travel_Rarely","Sales",5,"Life Sciences","Sales Executive",9419,4,"No",3,10
"No",38,"Female","Single","Travel_Rarely","Sales",1,"Life Sciences","Sales Executive",8686,4,"No",4,8
"No",32,"Male","Single","Travel_Rarely","Research & Development",6,"Life Sciences","Research Scientist",3038,3,"No",4,5
"No",27,"Male","Married","Travel_Rarely","Research & Development",17,"Technical Degree","Research Scientist",3058,2,"Yes",3,5
"Yes",19,"Female","Single","Travel_Frequently","Sales",1,"Technical Degree","Sales Representative",2325,1,"No",4,0
"No",36,"Male","Single","Travel_Frequently","Research & Development",3,"Medical","Laboratory Technician",2088,2,"No",3,8
"No",30,"Male","Divorced","Non-Travel","Research & Development",9,"Medical","Laboratory Technician",3072,1,"No",3,12
"No",45,"Female","Divorced","Travel_Rarely","Sales",4,"Life Sciences","Sales Executive",5006,1,"Yes",3,5
"No",56,"Female","Divorced","Travel_Rarely","Research & Development",8,"Life Sciences","Research Scientist",4257,1,"Yes",3,2
"No",33,"Male","Single","Travel_Rarely","Research & Development",2,"Life Sciences","Research Scientist",2500,4,"No",3,3
"Yes",19,"Male","Single","Travel_Rarely","Research & Development",2,"Life Sciences","Laboratory Technician",1102,4,"No",4,1
"No",46,"Female","Divorced","Travel_Rarely","Sales",1,"Marketing","Sales Executive",10453,1,"No",4,24
"No",38,"Female","Single","Travel_Rarely","Research & Development",9,"Life Sciences","Laboratory Technician",2288,4,"No",3,2
"No",31,"Female","Married","Travel_Rarely","Research & Development",12,"Medical","Research Scientist",3929,4,"Yes",4,4
"No",34,"Female","Single","Travel_Rarely","Research & Development",27,"Medical","Research Scientist",2311,2,"No",3,3
"Yes",41,"Female","Single","Travel_Rarely","Sales",20,"Marketing","Sales Representative",3140,2,"Yes",4,4
"No",50,"Male","Married","Travel_Rarely","Research & Development",1,"Medical","Laboratory Technician",3690,3,"No",3,3
"No",53,"Female","Divorced","Travel_Rarely","Research & Development",13,"Medical","Manufacturing Director",4450,1,"No",3,4
"No",33,"Female","Married","Travel_Rarely","Research & Development",14,"Medical","Research Scientist",2756,2,"No",3,8
"No",40,"Female","Married","Travel_Rarely","Research & Development",4,"Medical","Manager",19033,3,"No",3,20
"No",55,"Male","Single","Travel_Rarely","Research & Development",14,"Medical","Research Director",18722,2,"No",3,24
"No",34,"Male","Married","Travel_Frequently","Research & Development",2,"Life Sciences","Manufacturing Director",9547,3,"No",3,10
"No",51,"Female","Single","Travel_Rarely","Research & Development",3,"Medical","Healthcare Representative",13734,2,"No",3,7
"No",52,"Male","Married","Travel_Rarely","Research & Development",1,"Life Sciences","Manager",19999,3,"No",3,33
"No",27,"Female","Single","Travel_Rarely","Research & Development",9,"Medical","Research Scientist",2279,2,"No",3,7
"Yes",35,"Male","Married","Travel_Rarely","Research & Development",23,"Life Sciences","Manufacturing Director",5916,3,"Yes",3,1
"No",43,"Male","Divorced","Non-Travel","Research & Development",7,"Medical","Research Scientist",2089,4,"No",3,5
"No",45,"Male","Married","Non-Travel","Research & Development",2,"Medical","Manager",16792,4,"No",4,20
"No",37,"Male","Married","Travel_Rarely","Research & Development",21,"Life Sciences","Research Scientist",3564,1,"Yes",3,8
"No",35,"Female","Single","Travel_Frequently","Research & Development",2,"Medical","Laboratory Technician",4425,2,"No",3,6
"No",42,"Female","Divorced","Non-Travel","Research & Development",21,"Medical","Manufacturing Director",5265,3,"No",3,5
"No",38,"Male","Married","Travel_Rarely","Research & Development",2,"Life Sciences","Manufacturing Director",6553,3,"No",3,1
"No",38,"Male","Married","Travel_Rarely","Research & Development",29,"Technical Degree","Manufacturing Director",6261,4,"No",3,7
"No",27,"Male","Married","Travel_Frequently","Research & Development",1,"Technical Degree","Manufacturing Director",4298,1,"No",3,2
"No",49,"Male","Divorced","Non-Travel","Research & Development",18,"Life Sciences","Manufacturing Director",6804,4,"Yes",3,7
"No",34,"Male","Divorced","Travel_Frequently","Research & Development",10,"Medical","Research Scientist",3815,3,"Yes",3,5
"No",40,"Male","Married","Travel_Rarely","Research & Development",19,"Medical","Laboratory Technician",2741,4,"Yes",3,7
"Yes",38,"Male","Married","Travel_Rarely","Research & Development",29,"Medical","Healthcare Representative",6673,1,"Yes",3,1
"Yes",29,"Female","Married","Travel_Rarely","Sales",27,"Marketing","Sales Executive",7639,4,"No",4,10
"No",22,"Male","Divorced","Travel_Rarely","Research & Development",5,"Life Sciences","Research Scientist",2328,2,"Yes",3,4
"No",36,"Female","Single","Travel_Frequently","Research & Development",18,"Medical","Laboratory Technician",2153,4,"No",3,8
"No",40,"Male","Married","Non-Travel","Research & Development",9,"Life Sciences","Healthcare Representative",4876,4,"No",3,3
"No",46,"Male","Divorced","Travel_Rarely","Research & Development",1,"Medical","Healthcare Representative",9396,1,"No",3,4
"Yes",32,"Male","Married","Travel_Rarely","Sales",4,"Medical","Sales Executive",10400,4,"No",3,14
"No",30,"Male","Single","Non-Travel","Research & Development",1,"Life Sciences","Manufacturing Director",8474,3,"No",4,11
"No",27,"Female","Single","Travel_Frequently","Sales",20,"Life Sciences","Sales Executive",9981,3,"No",3,7
"No",51,"Male","Married","Travel_Rarely","Research & Development",8,"Life Sciences","Research Director",12490,2,"No",3,10
"Yes",30,"Female","Single","Travel_Rarely","Research & Development",3,"Technical Degree","Research Scientist",2657,1,"Yes",3,5
"No",41,"Female","Single","Travel_Rarely","Sales",6,"Life Sciences","Manager",13591,4,"Yes",3,1
"Yes",30,"Female","Single","Travel_Frequently","Sales",26,"Marketing","Sales Executive",6696,1,"No",3,6
"Yes",29,"Male","Single","Travel_Rarely","Research & Development",1,"Technical Degree","Research Scientist",2058,3,"No",3,6
"No",45,"Female","Single","Non-Travel","Sales",6,"Medical","Sales Executive",8865,4,"No",3,19
"No",54,"Female","Married","Travel_Rarely","Sales",3,"Marketing","Sales Executive",5940,1,"No",3,6
"No",36,"Male","Single","Travel_Rarely","Research & Development",5,"Life Sciences","Laboratory Technician",5914,2,"No",3,13
"No",33,"Female","Married","Travel_Rarely","Research & Development",4,"Medical","Research Scientist",2622,2,"No",4,3
"No",37,"Male","Divorced","Travel_Frequently","Research & Development",11,"Other","Research Director",12185,4,"Yes",3,10
"No",38,"Male","Divorced","Travel_Rarely","Sales",3,"Life Sciences","Sales Executive",10609,3,"No",3,16
"No",31,"Male","Married","Non-Travel","Research & Development",1,"Medical","Manufacturing Director",4345,3,"No",3,5
"No",59,"Male","Married","Travel_Rarely","Research & Development",3,"Life Sciences","Research Scientist",2177,4,"No",3,1
"No",37,"Male","Divorced","Travel_Frequently","Sales",4,"Marketing","Sales Representative",2793,4,"No",3,9
"No",29,"Female","Married","Travel_Frequently","Sales",1,"Medical","Sales Executive",7918,4,"No",3,11
"No",35,"Female","Single","Travel_Frequently","Sales",1,"Marketing","Sales Executive",8789,3,"No",3,10
"Yes",29,"Male","Single","Travel_Rarely","Research & Development",18,"Medical","Research Scientist",2389,4,"Yes",3,4
"No",52,"Female","Single","Travel_Rarely","Research & Development",2,"Life Sciences","Laboratory Technician",3212,4,"No",3,2
"No",42,"Male","Married","Travel_Rarely","Research & Development",4,"Technical Degree","Manager",19232,4,"No",3,22
"No",59,"Male","Married","Travel_Rarely","Human Resources",6,"Medical","Human Resources",2267,3,"No",3,2
"No",50,"Female","Divorced","Travel_Rarely","Sales",1,"Medical","Manager",19517,4,"No",3,7
"Yes",33,"Male","Married","Travel_Rarely","Research & Development",14,"Medical","Laboratory Technician",2436,4,"Yes",3,5
"No",43,"Female","Married","Travel_Rarely","Sales",16,"Marketing","Manager",16064,4,"Yes",4,17
"Yes",33,"Female","Married","Travel_Rarely","Research & Development",2,"Life Sciences","Laboratory Technician",2707,1,"No",4,9
"No",52,"Male","Single","Non-Travel","Sales",2,"Life Sciences","Manager",19068,3,"Yes",3,33
"No",32,"Female","Married","Travel_Rarely","Sales",4,"Life Sciences","Sales Representative",3931,2,"No",3,4
"Yes",32,"Male","Single","Travel_Rarely","Research & Development",1,"Life Sciences","Laboratory Technician",3730,3,"Yes",3,3
"No",39,"Female","Divorced","Travel_Rarely","Research & Development",1,"Medical","Laboratory Technician",2232,3,"No",3,3
"No",32,"Male","Married","Non-Travel","Sales",26,"Marketing","Sales Executive",4465,4,"No",3,3
"No",41,"Male","Divorced","Travel_Rarely","Research & Development",19,"Life Sciences","Research Scientist",3072,1,"No",3,1
"No",40,"Male","Divorced","Travel_Rarely","Research & Development",24,"Technical Degree","Research Scientist",3319,4,"No",3,9
"No",45,"Male","Married","Travel_Rarely","Research & Development",1,"Other","Manager",19202,4,"No",3,24
"No",31,"Male","Divorced","Travel_Frequently","Research & Development",3,"Medical","Research Director",13675,3,"No",3,2
"No",33,"Female","Married","Travel_Rarely","Research & Development",5,"Life Sciences","Research Scientist",2911,4,"No",3,2
"No",34,"Male","Married","Travel_Rarely","Research & Development",2,"Life Sciences","Manufacturing Director",5957,1,"No",3,11
